spotify_id,Song,Artist,Rank,Genre,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
4H2TRR9FjnnIwxGnIt9stO,Killin' Time,Clint Black,1,country,0.714,0.522,-9.773,0.0283,0.455,0.0000102,0.0967,0.69,121.312
6iy4PoAuZBMvtrlDX4VxC7,Check Yes Or No,George Strait,2,country,0.708,0.524,-12.644,0.0352,0.0551,0.00000321,0.0371,0.69,111.482
3oW6SWwGqiZSPTiAp7ZQoH,It's A Great Day To Be Alive,Travis Tritt,3,country,0.595,0.653,-4.935,0.0265,0.246,0,0.264,0.542,128.93
7lUE02KHkZM44BZgjCaWRO,Meet in the Middle,Diamond Rio,4,country,0.746,0.443,-11.305,0.0359,0.663,0,0.223,0.554,91.11
1ecIqo8pOc8S6y3l80iGxd,Fancy,Reba McEntire,5,country,0.675,0.54,-10.139,0.0774,0.204,0,0.0688,0.514,94.959
7GH8qNOm2gEKryVUyVzkmt,Delta Dawn,Tanya Tucker,6,country,0.619,0.507,-7.677,0.0335,0.71,0,0.258,0.694,77.995
4rQSLX4qMiUWL81hEQOuPY,Forever And Ever, Demis Roussos,7,country,0.701,0.68,-8.492,0.0264,0.303,0.0000151,0.159,0.704,90.607
5d5o9XHIrAMKvr3Qp2aZTW,Maybe It Was Memphis,Pam Tillis,8,country,0.462,0.78,-3.92,0.0343,0.455,0.000639,0.058,0.473,147.297
3ODF56f90W3qxDqxHAUi3v,Strawberry Wine,Deana Carter,9,country,0.558,0.435,-6.182,0.0264,0.302,0,0.0351,0.199,122.385
4uUwD0uYzIDjKMKQglzmD2,Song of the South,Alabama,10,country,0.486,0.647,-8.066,0.0377,0.189,0,0.305,0.628,162.218
0e05wFNr6zg1ULcp4NKs1p,Two Dozen Roses,Shenandoah,11,country,0.687,0.648,-9.137,0.027,0.314,0.00000137,0.289,0.6,121.341
54c6mEj1AfViQwz33gUnlO,Hello Darlin',Conway Twitty,12,country,0.289,0.256,-12.355,0.029,0.891,0.0000361,0.111,0.418,83.015
3nKLfeoq3YedJIZqvRW3Qz,I Don't Need Your Rockin' Chair - Version w/special guests,George Jones,13,country,0.68,0.589,-10.01,0.0247,0.152,0,0.378,0.696,93.865
3eIc0XWlqNkT290DfwNyBJ,Don't Close Your Eyes,Keith Whitley,14,country,0.618,0.271,-13.695,0.026,0.723,0.000558,0.129,0.264,78.334
29TI0GvP5gMQMPTJjdMe0H,You Never Even Called Me By My Name,David Allan Coe,15,country,0.604,0.459,-13.19,0.0321,0.153,0,0.275,0.505,105.908
5cCLKP66G2PJEorzYQVXHR,Love,Demi Lovato,16,country,0.686,0.234,-12.646,0.0295,0.742,0,0.145,0.342,106.581
6DqzLbXkxRUbvFyzWApTXM,Past The Point Of Rescue,Hal Ketchum,17,country,0.44,0.765,-5.973,0.0287,0.24,0.0000473,0.349,0.792,184.257
2nWKk3ACZN7exdamcHvGMU,Don't Laugh At Me,Mark Wills,18,country,0.399,0.357,-10.86,0.028,0.389,0,0.159,0.267,178.088
0Jtp6dLT78aWIdnoteCSxv,Smoky Mountain Rain,Ronnie Milsap,19,country,0.57,0.415,-15.077,0.0305,0.0644,0.0000869,0.067,0.524,141.019
70TsRbycWfabtevnripyRu,Don't Let Our Love Start Slippin' Away,Vince Gill,20,country,0.739,0.717,-9.568,0.0308,0.417,0.000918,0.334,0.663,113.234
2lYMQJyM2LOGEG3rVkdFod,Family Tradition,Hank Williams,21,country,0.66,0.523,-12.068,0.0608,0.0238,0,0.142,0.794,126.342
1gNUf7ItWfqwFrpDWzYcYY,Kiss An Angel Good Mornin',Charley Pride,22,country,0.687,0.512,-10.361,0.0294,0.794,0,0.313,0.876,131.793
7fJaL74toBMoNuO7iUXsST,Bubba Shot the Jukebox,Mark Chesnutt,23,country,0.604,0.6,-10.156,0.0438,0.338,0,0.0817,0.888,82.695
