User,spotify_id,Number of Times ,Genre
1,2aoo2jlRnM3A0NyLQqMN2f,4,rock
1,31t0ATifZW5CW3XP2QUsUW,10,pop
1,1hGy2eLcmC8eKx7qr1tOqx,20,pop
1,6TlRNJaezOdzdECnQeRuMM,19,r&b
1,5d4l67BejhQZ9uQtTCfYfL,4,r&b
1,7xrA11O07xo57Bbg6p4hck,7,pop
1,3BxWKCI06eQ5Od8TY2JBeA,6,pop
1,1ak0S3NhwWrUgNlQhJ1412,5,r&b
1,1GCbc1vpkZA2zhjsSFhmHT,17,pop
1,5nJWME6j2dfFSm5B6ayDrw,15,pop
1,0HMjXBAZmSYOTTi33WpMso,15,pop
1,1QEEqeFIZktqIpPI4jSVSF,15,rock
1,2Q7LpkYrS0PBpoq3iCqypa,20,rock
1,4MYb7NWLwXNDB7bYs3HeX8,19,rock
1,6YdEfXtj0YI5IbiJqVyT1c,17,r&b
1,1wyNvV8uXr35T8ChEypf8n,2,r&b
1,00xR9dHhuaNznqB4FSzOlr,10,rock
2,30oTS7bm0aH3p7lqjEIu8q,15,hip hop
2,6aRlUgqcLgrxQE3RMngjN5,12,rap
2,2HAVFycrhtbmLxyyxpm6JI,4,hip hop
2,3ABG1UQTk0eLYUAeWkmfMi,12,hip hop
2,0W2mz7mvaBaEsC4rmoRNPn,6,hip hop
2,4WxQGUmWBRNovxlF2g8Xdv,14,hip hop
3,5NQbUaeTEOGdD6hHcre0dZ,2,rap
3,119c93MHjrDLJTApCVGpvx,19,hip hop
3,0rHJxNaQRMGK6Y4TUx3xRO,12,rap
3,2Cth0v1xri32oZ799rL3rl,15,rap
3,1LM6EReMkAxuDXDF26ekl2,11,hip hop
3,3hQCHzkE5oSA3F1xM8bpcM,5,rap
3,7DTlsMOQjGysXHpwwpHuPl,12,rap
3,2OgGlK7DqGg86Z5uUxUgGg,16,hip hop
3,6JI5wNWYdBw68GZjOMmgK5,6,hip hop
3,53BZ6XygAoubR5DU5w38Vq,19,hip hop
3,33ZXjLCpiINn8eQIDYEPTD,11,hip hop
3,6Y9kdB2O0h9gq9y2vclsWT,1,rap
3,3rMyMv8EjKXoPnaRo2hdJN,13,rap
3,6uP0XLqjRqFx8HAfesdcAg,12,hip hop
4,61QSuw5VlC0LTS8WMO356g,17,hip hop
4,0uFvvXbmGIXlf5ZgtHyYpf,17,rap
4,2LLFl56eIFGFlnrplUC26f,5,rap
4,3yNVfRQlUPViUh8O2V9SQn,13,hip hop
4,6R0GRYk2vs2XuBVemYK5YZ,5,rap
4,2p9sprAX27D6U5cuSE9NsM,19,hip hop
5,4WC72P8F0CnYmqoPYQ7JDD,4,rap
5,0rHJxNaQRMGK6Y4TUx3xRO,11,rap
5,4Hf2HHwkUEJZzJgp3KDKMu,7,hip hop
