spotify_id,Song,Artist,Rank,Genre
7n92QzQomRCLlciO14X0kd,Nocturne en mi bÃ©mol majeur opus 9 nÂ°2: Ballade en Sol Mineur No.1,FrÃ©dÃ©ric Chopin,1,classical
6GzMz3s0K1YKwRVI36CgRx,Liebestraume,,2,classical
0P3TUNfXfhdJ4rgdZAUL6i,Ma vlast (My Fatherland): No. 2. Vltava (Moldau),BedÅ™ich Smetana,3,classical
3DNRdudZ2SstnDCVKFdXxG,"Sonata No. 14 ""Moonlight"" in C-Sharp Minor""",,4,classical
4jW2s3Spp80QQwHxdefx88,Concerto No. 1 in G Minor for Violin and Orchestra,,5,classical
6N7JzrteJv8lsr1GWYyu0b,Suite bergamasque: III. Clair de lune. Andante trÃ¨s expressif,Claude Debussy,6,classical
4rjnWmrSRqXVkFWdKMG3pV,Le Nozze di Figaro,,7,classical
3DnLGuX4YU3PGein8vo5Zt,Orfeo et Eurydice: MÃ©lodie for Piano Solo,Christoph Willibald Gluck,8,classical
4RDQc1lHscLD6i8WjzwpyG,Lieder ohne Worte (Songs without Words),,9,classical
1ipJdiNMjgvfAilddGT9sI,Fantasien op. 116: Intermezzo: Adagio,Johannes Brahms,10,classical
1upQiytDIEZfl9ItruoXuC,Handel: Harpsichord Suite No. 4 in D Minor,,11,classical
7JMfliSVdzjguSULo2VPUD,Fantasy in C Major,,12,classical
0xX7kREWmOGBWzYNcpZwRN,Violin Sonata in A Major,,13,classical
2r1FiNXh5mDNEP8K07YRVp,Bizet: Carmen,,14,classical
0BqbWiOxccb0qQshm3Whjt,Cavalleria Rusticana (1987 - Remaster): Intermezzo (Orchestra),Philharmonia Orchestra,15,classical
5stPdVFNnyEahYLpWs2akd,Flower duet from Lakme - RemasterisÃ© en 1987,LÃ©o Delibes,16,classical
1ayVfSGKLGZxhW8UBew52g,Piano Concerto No. 3 in D Minor,,17,classical
1XuE3xSCh6D7Ut6CbAdBDA,Psalmus 109. dixit dominus,Claudio Monteverdi,18,classical
4N8ctxSuDwvMLT8wWRh7Bv,Humoreske in B-Flat Major,,19,classical
6HGzj1FMXVBAi2AtBCbhCQ,Serenade in E Major for Strings,,20,classical
38EmZT3oWA6lJE0o4ajfG8,Liebesleid (Love's Sorrow),Fritz Kreisler,21,classical
1IM8x4lxZVOOP9gpQD6c5s,Danse macabre in G Minor,,22,classical
7fmX6tOus0R4rpZLDio6KK,Madama Butterfly (1987 - Remaster),,23,classical
16TGhpNrDKf9SIF0IUSyM8,An der schÃ¶nen blauen Donau,,24,classical
5fS5VeE4k5HcMv2HmH2lnx,PoÃ¨me,,25,classical
2oqgnxjyNYItifLYl9MzaW,Pavane,,26,classical
3GoOPJ23jjA40GKcoUKiYO,Poulenc: MÃ©lancolie,,27,classical
0EOVAa8jtrpEEYnV0niYRt,Rondo brillante in E-Flat Major,,28,classical
0dxij7NXHME26ZpkQpuLGg,La traviata: Libiamo ne'lieti calici (Brindisi),Giuseppe Verdi,29,classical
1bF1jyzzZbVVTtruNykoox,String Quintet in C,,30,classical
1qbsaOxbQKRLDTSyS6XcFG,Valses nobles et sentimentales: VIII. Epilogue - Lent,Maurice Ravel,31,classical
2XSBXz4uDvx1PQPYJWQpcK,Rhapsody In Blue,George Gershwin,32,classical
2326UbALyWJSMaP5RnJ2vZ,Goldberg Variations,,33,classical
1Um3AfadSNEdoaGpU0o5j6,Bach,,34,classical
46hsqFjoa0eOxFL1FLIY3V,Offenbach: Les Contes d'Hoffmann,,35,classical
0PlTjNRzj6MkPfaLHNeZLZ,"Polovtsian Dances From ""Prince Igor""",Alexander Borodin,36,classical
3D0lv3EpOGgVnN8V34FmdX,Pique Dame: Overture,Franz von SuppÃ©,37,classical
2cq1Bvya0v5sC0FioZiiD3,Concerto for 2 Cellos in G Minor,,38,classical
3VaCpod81lyosglnknTNlg,La gazza ladra: Overture,Gioachino Rossini,39,classical
7uf3aFC1msj0t5cYImgOWy,Serenade for Strings in C major,,40,classical
36soyVMvHB2FRb0DgLr9ll,Giordano: Andrea ChÃ©nier,,41,classical
6KiFmQ6F2Jm2CZiMKLWjTb,Vier letzte Lieder,,42,classical
1A6y03WfZrXSdKEqfh25cI,Faust,,43,classical
0kLQvtf6Oo11Xqmj9HzAim,Symphony No. 93 in D Major,,44,classical
5rSR9a0inBSyYlNTLa8BLi,3 PiÃ¨ces pour orchestre,,45,classical
2ui8hI5mciBnle9mBo4iRo,Berlioz: RomÃ©o et Juliette,,46,classical
5RY6RAN58LiMtmGVM3fP5s,Viola Concerto in G Major,,47,classical
64tv0NgyLioSmYI8WOPNrr,Fryderyk Chopin (1810-1849): Piano Sonata n. 2 iB flat major op.v35; Grave,,48,classical
55bkGRscrJzkLLti493hqV,Sonata for Violin and Piano in G Minor - II Intermede (fantasque et lÃ©ger),Martha Argerich,49,classical
4EboQ4MODsqFWP00zSnJpf,"String Quartet No. 2 ""Intimate Letters"": II. Adagio. Vivace",LeoÅ¡ JanÃ¡Äek,50,classical
6KWLcDq7fyeHahIYLCsfGw,La Gioconda: Danza Delle Ore : Danza Delle Ore,Amilcare Ponchielli,51,classical
3ZfdK7dMOM1EqnNJmWrP0U,El amor brujo: Danza ritual del fuego,,52,classical
1VvcxmJQFBNFoexsW9p9yG,L'elisir d'amore: Una furtiva lagrima,Gaetano Donizetti,53,classical
0iRybLKiytzp6q7gFe1BXx,Wagner: TannhÃ¤user,,54,classical
4CegokxyLQgLpMGmohQtxj,Pictures at an Exhibition: 10. The Great Gate of Kiev/La grande porte de Kiev,Berliner Philharmoniker,55,classical
0viqZZ5F8PYzoD7bL6gTd4,Pagliacci: Recitar - Vesti la giubba,Ruggero Leoncavallo,56,classical
3BUf66hFGMJfZrOQhWIlTj,Piano Concerto No. 20 in D Minor,,57,classical
5j5kDWEJSCCqyZuJuccXbx,La Couperin (21e ordre),FranÃ§ois Couperin,58,classical
3DqCcBzagq4NyQFUqWObb5,Norma (1987 - Remaster): Casta diva,Vincenzo Bellini,59,classical
3jLui4jomVtV5IIxVdlXc6,Keyboard Sonata in B-Flat Major,,60,classical
5MOE4Lfg8vjf6US8Tqg2wY,Book I: Prelude and Fugue No. 4 in C Sharp Major BWV 849: I. Prelude,Sviatoslav Richter,61,classical
3nJpIaNSt06uAeE82TWCpq,Iberia - Cahier 2,,62,classical
4YLVOi2UXj5KLJfphy89nA,Prokofiev: Romeo and Juliet (Complete Ballet),,63,classical
