spotify_id,Song,Artist,Rank,Genre,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
4H2TRR9FjnnIwxGnIt9stO,Killin' Time,Clint Black,1,country,0.676,0.461,-6.746,0.143,0.0322,1.01E-06,0.358,0.715,87.917
6iy4PoAuZBMvtrlDX4VxC7,Check Yes Or No,George Strait,2,country,0.42,0.166,-17.235,0.0763,0.924,5.56E-06,0.101,0.267,77.489
3oW6SWwGqiZSPTiAp7ZQoH,It's A Great Day To Be Alive,Travis Tritt,3,country,0.438,0.359,-9.734,0.0557,0.21,0,0.117,0.12,76.332
7lUE02KHkZM44BZgjCaWRO,Meet in the Middle,Diamond Rio,4,country,0.266,0.0596,-18.515,0.0363,0.905,7.07E-05,0.132,0.143,181.74
1ecIqo8pOc8S6y3l80iGxd,Fancy,Reba McEntire,5,country,0.618,0.443,-9.681,0.0526,0.469,0,0.0829,0.167,119.949
7GH8qNOm2gEKryVUyVzkmt,Delta Dawn,Tanya Tucker,6,country,0.688,0.481,-8.807,0.105,0.289,0,0.189,0.666,98.017
4rQSLX4qMiUWL81hEQOuPY,Forever And Ever, Demis Roussos,7,country,0.407,0.147,-8.822,0.0355,0.857,2.89E-06,0.0913,0.0765,141.284
5d5o9XHIrAMKvr3Qp2aZTW,Maybe It Was Memphis,Pam Tillis,8,country,0.703,0.444,-9.331,0.0417,0.559,0,0.0973,0.712,150.96
3ODF56f90W3qxDqxHAUi3v,Strawberry Wine,Deana Carter,9,country,0.625,0.414,-8.7,0.0369,0.294,0,0.151,0.669,130.088
4uUwD0uYzIDjKMKQglzmD2,Song of the South,Alabama,10,country,0.442,0.632,-6.77,0.0295,0.426,0.00419,0.0735,0.196,78.899
0e05wFNr6zg1ULcp4NKs1p,Two Dozen Roses,Shenandoah,11,country,0.627,0.363,-8.127,0.0291,0.279,0,0.0928,0.301,99.905
54c6mEj1AfViQwz33gUnlO,Hello Darlin',Conway Twitty,12,country,0.483,0.303,-10.058,0.0429,0.694,0,0.115,0.139,133.406
3nKLfeoq3YedJIZqvRW3Qz,I Don't Need Your Rockin' Chair - Version w/special guests,George Jones,13,country,0.489,0.314,-9.245,0.0331,0.749,0,0.113,0.607,124.234
